Name,Id,Parent,NodeType,Description,Icon,Panel,Hostname,Protocol,PuttySession,Port,ConnectToConsole,UseCredSsp,RenderingEngine,ICAEncryptionStrength,RDPAuthenticationLevel,LoadBalanceInfo,Colors,Resolution,AutomaticResize,DisplayWallpaper,DisplayThemes,EnableFontSmoothing,EnableDesktopComposition,CacheBitmaps,RedirectDiskDrives,RedirectPorts,RedirectPrinters,RedirectSmartCards,RedirectSound,RedirectKeys,PreExtApp,PostExtApp,MacAddress,UserField,ExtApp,VNCCompression,VNCEncoding,VNCAuthMode,VNCProxyType,VNCProxyIP,VNCProxyPort,VNCProxyUsername,VNCProxyPassword,VNCColors,VNCSmartSizeMode,VNCViewOnly,RDGatewayUsageMethod,RDGatewayHostname,RDGatewayUseConnectionCredentials,RDGatewayUsername,RDGatewayPassword,RDGatewayDomain,Column1
UK-DC01,,UK: Domain Controllers,Connection,This is a domain controller,mRemoteNG,General,uk-dc01.ad.example.com,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
UK-DC02,,UK: Domain Controllers,Connection,This is a domain controller,mRemoteNG,General,uk-dc02.ad.example.com,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
US-DC01,,US: Domain Controllers,Connection,This is a domain controller,mRemoteNG,General,us-dc01.ad.example.com,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
US-DC02,,US: Domain Controllers,Connection,This is a domain controller,mRemoteNG,General,us-dc02.ad.example.com,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
US-APP01,,US: Application Servers,Connection,"IIS, Third party software",mRemoteNG,General,us-app01.ad.example.com,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
UK-EX01,,UK: Exchange Servers,Connection,On-prem Exchange server,mRemoteNG,General,uk-ex01.ad.example.com,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
US-ADSYNC01,,US: ADSync Servers,Connection,AD Connect,mRemoteNG,General,us-adsync01.ad.example.com,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
US-FILE01,,US: File Servers,Connection,FSLogix Profiles location,mRemoteNG,General,us-file01.ad.example.com,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
UK-FILE01,,UK: File Servers,Connection,Shared Server Data,mRemoteNG,General,uk-file01.ad.example.com,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
US-RDS01,,US: RDS Servers,Connection,RD Session Host,mRemoteNG,General,us-rds01.ad.example.com,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
UK-RDS01,,UK: RDS Servers,Connection,RD Session Host,mRemoteNG,General,uk-rds01.ad.example.com,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
